Blue-tailed Bee-eater,3,1
Little Ringed Plover,20,1
Green-billed Malkoha,1,1
Dusky Warbler,3,1
Little Cormorant,3,1
Chinese Pond-heron,2,1
Grey Heron,1,1
Eastern Spotted Dove,1,1
Whiskered Tern,1,1
Little Egret,1,1
Barn Swallow,21,2
Little Egret,5,2
Paddyfield Pipit,2,2
Ashy Tailorbird,1,2
Yellow-vented Bulbul,1,2
Streak-eared Bulbul,1,2
Common Tailorbird,2,2
Common Iora,2,2
Plaintive Cuckoo,2,2
Plain-backed Sparrow,7,2
Scaly-breasted Munia,5,3
Plain Prinia,1,3
Barn Swallow,12,3
Olive-backed Sunbird,1,3
Whiskered Tern,3,3
Chinese Pond-heron,2,3
Little Cormorant,2,3
Yellow-vented Bulbul,2,3
Blue-tailed Bee-eater,3,3
Wood Sandpiper,1,3
Yellow-vented Bulbul,3,4
Common Myna,4,4
Barn Swallow,13,4
Eurasian Tree Sparrow,10,4
Sunda Pied Fantail,2,4
Chinese Pond-heron,1,4
Whiskered Tern,2,4
Coppersmith Barbet,1,4
Blue-tailed Bee-eater,2,4
Brown Shrike,1,4
Sunda Pied Fantail,1,5
Barn Swallow,18,5
Chinese Pond-heron,11,5
Little Cormorant,3,5
Little Egret,2,5
Yellow-vented Bulbul,2,5
Little Grebe,4,5
Common Sandpiper,6,5
Black-winged Stilt,3,5
Common Greenshank,2,5
Little Cormorant,1,6
Common Tern,2,6
Chinese Pond-heron,1,6
Common Kingfisher,2,6
Collared Kingfisher,1,6
Little Egret,8,6
Plain Prinia,1,6
Eurasian Tree Sparrow,2,6
Olive-backed Sunbird,1,6
Zebra Dove,1,6
Little Egret,5,7
Collared Kingfisher,1,7
Chinese Pond-heron,1,7
Plaintive Cuckoo,2,7
Eurasian Tree Sparrow,6,7
Olive-backed Sunbird,1,7
Sunda Pied Fantail,2,7
Barn Swallow,1,7
Scaly-breasted Munia,3,7
Little Cormorant,1,7
Eastern Spotted Dove,1,8
Chinese Pond-heron,3,8
Common Sandpiper,1,8
Barn Swallow,3,8
Little Cormorant,4,8
Little Egret,4,8
Greater Coucal,1,8
Plain Prinia,1,8
Whiskered Tern,1,8
Edible-nest Swiftlet,1,8
Eurasian Tree Sparrow,1,9
Little Cormorant,7,9
Chinese Pond-heron,1,9
Little Egret,56,9
Barn Swallow,5,9
Whiskered Tern,5,9
Little Grebe,17,9
Streak-eared Bulbul,1,9
Common Sandpiper,2,9
Zebra Dove,1,9
Sunda Pied Fantail,1,10
Plain Prinia,2,10
Brown Shrike,1,10
Collared Kingfisher,2,10
Eurasian Tree Sparrow,2,10
Common Myna,1,10
Barn Swallow,1,10
Yellow-vented Bulbul,1,10
Edible-nest Swiftlet,3,10
Little Cormorant,25,10
Caspian Tern,8,11
Edible-nest Swiftlet,13,11
Barn Swallow,7,11
Brown Shrike,1,11
Little Cormorant,1,11
Grey Heron,1,11
Little Egret,3,11
Common Greenshank,18,11
Eurasian Tree Sparrow,1,11
Yellow-vented Bulbul,2,11
Olive-backed Sunbird,1,12
Common Kingfisher,1,12
Sunda Pied Fantail,1,12
Streak-eared Bulbul,1,12
Eurasian Tree Sparrow,10,12
Cattle Egret,1,12
Little Cormorant,1,12
Common Greenshank,12,12
Grey Heron,1,12
Chinese Pond-heron,1,12
Little Egret,8,13
Little Cormorant,7,13
Common Kingfisher,2,13
House Sparrow,6,13
Collared Kingfisher,1,13
Grey Heron,2,13
Yellow-bellied Prinia,2,13
Eurasian Tree Sparrow,6,13
Common Sandpiper,1,13
Little Ringed Plover,5,13
Caspian Tern,1,14
Eurasian Tree Sparrow,5,14
Common Kingfisher,1,14
Asian Green Bee-eater,1,14
Yellow-vented Bulbul,7,14
Little Egret,1,14
Barn Swallow,5,14
Plain-backed Sparrow,1,14
Ashy Tailorbird,1,14
Common Moorhen,1,14
Edible-nest Swiftlet,2,15
Little Egret,3,15
Eastern Spotted Dove,3,15
Barn Swallow,15,15
Asian Green Bee-eater,1,15
Yellow-vented Bulbul,2,15
Yellow-bellied Prinia,1,15
Chinese Pond-heron,2,15
Greater Coucal,1,15
Streak-eared Bulbul,1,15
Whiskered Tern,3,16
Barn Swallow,38,16
Yellow-vented Bulbul,6,16
Little Egret,1,16
Asian Green Bee-eater,2,16
House Sparrow,1,16
Olive-backed Sunbird,1,16
Streak-eared Bulbul,2,16
Chinese Pond-heron,1,16
Little Grebe,1,16
Barn Swallow,18,17
Yellow-vented Bulbul,2,17
Chinese Pond-heron,5,17
Common Kingfisher,1,17
Common Sandpiper,2,17
Grey Wagtail,1,17
Common Iora,2,17
Asian Green Bee-eater,1,17
Olive-backed Sunbird,1,17
Little Egret,3,17
Little Cormorant,2,18
Common Sandpiper,2,18
Red Turtle-dove,1,18
Chinese Pond-heron,5,18
Little Grebe,3,18
Little Egret,8,18
Edible-nest Swiftlet,1,18
Pink-necked Green-pigeon,2,18
Barn Swallow,1,18
Cattle Egret,1,18
Little Egret,40,19
Yellow-vented Bulbul,1,19
Little Cormorant,2,19
White-throated Needletail,1,19
White-throated Kingfisher,1,19
Chinese Pond-heron,4,19
Barn Swallow,12,19
Blue-tailed Bee-eater,3,19
Red Turtle-dove,2,19
Little Grebe,1,19
Streak-eared Bulbul,1,20
Brown Shrike,1,20
Eurasian Tree Sparrow,1,20
Edible-nest Swiftlet,5,20
Asian Green Bee-eater,2,20
Ashy Tailorbird,1,20
Barn Swallow,2,20
Little Cormorant,1,20
Chinese Pond-heron,1,20
Little Egret,1,20
Little Cormorant,5,21
Chinese Pond-heron,3,21
Little Grebe,20,21
Whiskered Tern,1,21
Edible-nest Swiftlet,9,21
Common Sandpiper,3,21
Yellow-bellied Prinia,2,21
Yellow-vented Bulbul,2,21
Greater Coucal,2,21
Barn Swallow,6,21
Little Egret,24,22
Sunda Pied Fantail,1,22
Whiskered Tern,2,22
Black-winged Stilt,6,22
Little Cormorant,1,22
Red Turtle-dove,4,22
Ashy Tailorbird,1,22
Scaly-breasted Munia,8,22
Grey Heron,1,22
Pink-necked Green-pigeon,2,22
Sunda Pied Fantail,3,23
Little Cormorant,2,23
Whiskered Tern,1,23
Little Egret,37,23
Common Greenshank,75,23
Spotted Redshank,40,23
Black-winged Stilt,22,23
Scaly-breasted Munia,4,23
Oriental Pratincole,2,23
Pacific Golden Plover,1,23
